Name,URL,Volume,Ring,Quadrant,shorturl,Description
Bun,https://www.thoughtworks.com/radar/platforms/bun,Oct-22,Assess,Platforms,https://tinyurl.com/2mmhhh3x,"Bun  is a new JavaScript runtime, similar to  Node.js  or  Deno . Unlike Node.js or Deno, however, Bun is built using WebKit's JavaScriptCore instead of Chrome's V8 engine. Designed as a drop-in replacement for Node.js, Bun is a single binary (written in  Zig ) that acts as a bundler, transpiler and package manager for JavaScript and  TypeScript  applications. Bun is currently in beta, so expect bugs or compatibility issues with a few Node.js libraries. However, its been built from the ground up with several optimizations, including fast startup and improved server-side rendering, and we believe its worthwhile to assess."
Camunda,https://www.thoughtworks.com/radar/languages-and-frameworks/camunda,Oct-22,Trial,Languages & Frameworks,https://tinyurl.com/2kc35xvr,"Since we last mentioned  Camunda , we've seen many of our teams and clients use the platform, making it one of our preferred workflow engines in cases where a workflow engine is a good fit for the domain. Camunda offers workflow and decision engines that can be integrated as a library in your Java code. This makes it easy to test, version and refactor workflows, alleviating some of the downsides of other more low-code workflow engines. We've even seen Camunda used in environments with high performance requirements. Teams also like how easy it is to integrate with  Spring Boot  and its nice user interface."
Carbon,https://www.thoughtworks.com/radar/languages-and-frameworks/carbon,Oct-22,Hold,Languages & Frameworks,https://tinyurl.com/2gy4cykc,"We're seeing some interest in the  Carbon  programming language. That doesn't come as a surprise: it has Google's backing and is presented as a natural successor to C++. In our opinion C++ can't be replaced fast enough as software engineers have shown, over the past decades, that writing safe and error-free C++ code is extremely difficult and time-consuming. While Carbon is an interesting concept with its focus on migration from C++, without a working compiler, it's clearly a long way from being usable and there are other modern programming languages that are good choices if you want to migrate from C++. It's too early to tell whether Carbon will become the natural successor to C++, but, from today's perspective, we recommend that teams look at  Rust  and  Go  rather than postponing a migration because they're waiting for Carbon to arrive."
Carbon Aware SDK,https://www.thoughtworks.com/radar/languages-and-frameworks/carbon-aware-sdk,Oct-22,Assess,Languages & Frameworks,https://tinyurl.com/2qdq3jpz,"When looking at reducing the carbon footprint of an application "" the carbon dioxide emissions caused indirectly by running the software "" attention is usually directed at making the software more efficient. The thinking is clear: more efficient software needs less electricity and fewer servers, reducing the emissions from electricity generation and manufacturing of the servers. An additional strategy is to make the application  carbon aware . This is because the same workload does not always have the same carbon footprint. For example, when run in a data center in a cooler climate, less power for air conditioning is needed; or, when run at a time when more renewable energy is available (more sunshine, stronger winds), less electricity from carbon-based sources is required. With the  Carbon Aware SDK , software engineers can query data sources to discover less carbon-intensive options for a given workload and then move it to a different location or run it at a different time. This makes sense for large workloads that are neither time nor latency sensitive, such as training a machine-learning model. Although the SDK and available data sources are not very comprehensive yet, we believe it's time to start looking at how we can make our systems carbon aware."
Carbon efficiency as an architectural characteristic,https://www.thoughtworks.com/radar/techniques/carbon-efficiency-as-an-architectural-characteristic,Oct-22,Assess,Techniques,https://tinyurl.com/2fwamh7r,"Sustainability is a topic that demands the attention of enterprises. In the software development space its importance has increased, and we're now seeing  different ways  to approach this topic. Looking at the carbon footprint of building software, for example, we recommend assessing  carbon efficiency as an architectural characteristic . An architecture that takes into consideration carbon efficiency is one where design and infrastructure choices have been made in order to to minimize energy consumption and therefore carbon emissions. The measurement tooling and advice in this space is maturing, making it feasible for teams to consider carbon efficiency alongside other factors such as performance, scalability, financial cost and security. Like almost everything in software architecture, this should be considered a trade-off; our advice is to think about this as one additional characteristic in a whole set of relevant  quality attributes  that are driven and prioritized by organizational goals and not left to a small cadre of experts to ponder in a siloed manner."
Clasp,https://www.thoughtworks.com/radar/tools/clasp,Oct-22,Assess,Tools,https://tinyurl.com/2mhv2cqk,"Unfortunately, a big part of the world still runs on spreadsheets and will continue to do so. They're the ultimate tool to let anyone build those small custom tools tailored to their exact needs. However, when you want to enhance them with a level of logic that requires ""real"" code, the low-code nature of spreadsheets can then become a constraint. If you're with a company that, like Thoughtworks, uses Google's G-Suite,  Clasp  enables you to apply at least some  Continuous Delivery  practices to Apps Script code. You can write the code outside of the Apps Script project, which creates options for testing, source control and build pipelines; it even lets you use  TypeScript . Clasp has been around for a while, and you shouldnt expect a programming environment with all of the usual comforts, but it can greatly improve the experience of using Apps Script."
Cloudscape,https://www.thoughtworks.com/radar/languages-and-frameworks/cloudscape,Oct-22,Assess,Languages & Frameworks,https://tinyurl.com/2pyplbpm,"Cloudscape  is an open-source design system that not only has a rich set of components but also 35 interaction and content representation patterns. In addition, it uses  design tokens  for theming and provides element wrappers for all components, which greatly simplifies unit testing. This makes it stand out from other design systems out there."
Clumio Protect,https://www.thoughtworks.com/radar/tools/clumio-protect,Oct-22,Trial,Tools,https://tinyurl.com/2lkexbu2,"We've had success with  Clumio Protect  for backing up AWS data, particularly S3. A commercial SaaS solution, Clumio Protect can also back up a range of other AWS services and stores the data offline where it is not accessible through the internet. Our teams responsible for handling data protection and recovery at massive scale found that Clumio Protect is easy to set up and maintain and far outperforms the native AWS Backup service when S3 buckets are particularly big."
Colima,https://www.thoughtworks.com/radar/platforms/colima,Oct-22,Trial,Platforms,https://tinyurl.com/2g7tkhoh,"Colima  is becoming a popular open alternative to Docker Desktop. It provisions the  Docker  container run time in a Lima VM, configures the Docker CLI on macOS and handles port-forwarding and volume mounts. Colima uses  containerd  as its run time, which is also the run time on most managed  Kubernetes  services "" improving the important dev-prod parity. With Colima you can easily use and test the latest features of containerd, such as lazy loading for container images. We've been having good results with Colima in our projects. When in the Kubernetes space, we also use  nerdctl , a Docker-compatible CLI for containerd. Since Kubernetes has deprecated Docker as container run time and most managed-services (EKS, GKE, etc) are following its lead, more people will be looking to containerd native tools, hence the importance of tools like nerdctl. In our opinion, Colima is realizing its strong potential and becoming a go-to option as an alternative to Docker Desktop."
Component visual regression testing,https://www.thoughtworks.com/radar/techniques/component-visual-regression-testing,Oct-22,Trial,Techniques,https://tinyurl.com/2pcbcsjn,"Visual regression testing  is a useful and powerful tool to have in your toolbox, but it has a significant cost given it's done for the entire page. With the rise of component-based frameworks such as  React  and  Vue , we've also seen the rise of  component visual regression testing . This technique strikes a good balance between value and cost to ensure that no undesired visuals have been added to the application. In our experience, component visual regression testing presents fewer false positives and promotes a good architectural style. By using it with tools such as  Vite  and the webpack feature  Hot Module Replacement (HMR) , it could be seen as a paradigm shift for applying test-driven development to front-end development."
Connect,https://www.thoughtworks.com/radar/languages-and-frameworks/connect,Oct-22,Assess,Languages & Frameworks,https://tinyurl.com/2ffsenw3,"Connect  is a family of libraries for building browser- and gRPC-compatible HTTP APIs. Similar to gRPC, you write Protocol Buffer schema and implement the application logic, and Connect generates code to handle marshaling, routing, compression and content type negotiation. However, Connect tries to improve on gRPC in several ways. This includes native support for gRPC-Web without a translating proxy; interoperability with third-party routers or middleware, because  connect-go  is built on top of net/http (unlike grpc-go); and fully generated type-safe clients with the ergonomics of hand-crafted code. We mostly prefer REST and are not a big fan of the RPC approach to building APIs. That said, Connect does seem to address some of our concerns with RPCs, and we encourage you to assess it."
Cross device SDK,https://www.thoughtworks.com/radar/languages-and-frameworks/cross-device-sdk,Oct-22,Assess,Languages & Frameworks,https://tinyurl.com/2hjfuxzv,"As smart devices continue to embed themselves in our lives, we are starting to see new use cases emerge that span across multiple devices. The classic example is a text we start reading on a phone but prefer to finish on a tablet. Other examples include plotting a cycling route on a laptop and then transferring the data to a bike computer for easier navigation or using a mobile phone as a webcam. Such use cases require very specific kinds of features, like the discovery of nearby devices, secure communication and multi-device sessions. Apple started introducing such features a while ago to its own SDKs, and now Google has released the first preview of its  Cross device SDK . Although the preview has several limitations "" for example, only phones and tablets are supported and only two devices at a time "" the technology is exciting and can be utilized as it is rolled out over time."
Cruft,https://www.thoughtworks.com/radar/tools/cruft,Oct-22,Trial,Tools,https://tinyurl.com/2j3otxmy,"We've been talking about  tailored service templates  ever since we first identified  microservices  as a thing. If an organization sets out to create a collection of small services that can be developed, built, deployed and operated independently but consistently, it makes sense to give teams a solid starting point that aligns to the standard. However, one of the enduring problems with that approach is that as the template evolves over time in response to changing technical and business requirements, projects based on older versions of the template fall out of date. Retrofitting template improvements into an established project becomes a major pain.  Cruft  attempts to address this problem by providing tools to identify and patch differences between a local project and the current head of a master template repository. It combines the  Cookiecutter  templating engine with git hashes to identify and apply changes to the templates. Think of it as a package manager for a project boilerplate. Keeping templates up-to-date is a notoriously difficult and long-standing problem, so to us the solution Cruft provides sounds almost too good to be true. Based on early feedback from our team, however, Cruft actually works and makes life easier for service builders and maintainers. We're anxious to see how it performs over the long term, but for now it's worth taking a look at this potentially useful tool."
CUPID,https://www.thoughtworks.com/radar/techniques/cupid,Oct-22,Assess,Techniques,https://tinyurl.com/2pfgbj66,"How do you approach writing good code? How do you judge if you've written good code? As software developers, we're always looking for catchy rules, principles and patterns that we can use to share a language and values with each other when it comes to writing simple, easy-to-change code."
Cypress Component Testing,https://www.thoughtworks.com/radar/languages-and-frameworks/cypress-component-testing,Oct-22,Assess,Languages & Frameworks,https://tinyurl.com/2qxxcqq8,"Cypress Component Testing  provides a testable component workbench to quickly build and test UI components. You can write component visual regression tests with the same API that you write end-to-end (E2E) UI tests. Although still in beta, component testing will be the most important feature in  Cypress 10"
Databricks Overwatch,https://www.thoughtworks.com/radar/tools/databricks-overwatch,Oct-22,Assess,Tools,https://tinyurl.com/2dsg8ux3,"Databricks Overwatch  is a Databricks Labs project that enables teams to analyze various operational metrics of Databricks workloads around cost, governance and performance with support to run what-if experiments. It's essentially a set of data pipelines that populate tables in Databricks, which can then be analyzed using tools like notebooks. Overwatch is very much a power tool; however, it's still in its early stages and it may take some effort to set it up "" our use of it required Databricks solution architects to help set it up and populate a price reference table for cost calculations "" but we expect adoption to get easier over time. The level of analysis made possible by Overwatch is deeper than what is allowed by cloud providers' cost analysis tools. For example, we were able to analyze the cost of job failures "" recognizing that failing fast saves money compared to jobs that only fail near the final step "" and break down the cost by various groupings (workspace, cluster, job, notebook, team). We also appreciated the improved operational visibility, as we could easily audit access controls around cluster configurations and analyze operational metrics like finding the longest running notebook or largest read/write volume. Overwatch can analyze historical data, but its real-time mode allows for alerting which helps you to add appropriate controls to your Databricks workloads."
Databricks Photon,https://www.thoughtworks.com/radar/platforms/databricks-photon,Oct-22,Trial,Platforms,https://tinyurl.com/2hg4rbym,"Starting with Databricks 9.1 LTS (Long Term Support), a new run time became available called  Databricks Photon , an alternative that was rewritten from the ground up in C++. Several of our teams have now used Photon in production and have been pleased with the performance improvements and corresponding cost savings. Actual improvements and changes in costs will depend upon multiple factors such as data set size and transaction types. We recommend trialing against a realistic workload to gather data for a comparison before making any decision on Photon's use."
Databricks Unity Catalog,https://www.thoughtworks.com/radar/platforms/databricks-unity-catalog,Oct-22,Assess,Platforms,https://tinyurl.com/2qeu4ebv,"Databricks Unity Catalog  is a data governance solution for assets such as files, tables or machine learning models in a  lakehouse . Although you'll find several platforms in the enterprise data governance space, if you're already using other Databricks solutions, you should certainly assess Unity Catalog. We want to highlight that while these governance platforms usually implement a centralized solution for better consistency across workspaces and workloads, the responsibility to govern should be federated by enabling individual teams to govern their own assets."
DataHub,https://www.thoughtworks.com/radar/platforms/datahub,Oct-22,Trial,Platforms,https://tinyurl.com/2otqoeve,"Since we first mentioned  data discoverability  in the Radar, LinkedIn has evolved  WhereHows  to  DataHub , the next generation platform that addresses data discoverability via an extensible metadata system. Instead of crawling and pulling metadata, DataHub adopts a push-based model where individual components of the data ecosystem publish metadata via an API or a stream to the central platform. This push-based integration shifts ownership from the central entity to individual teams, making them accountable for their metadata. As a result, we've used DataHub successfully as an organization-wide metadata repository and entry point for multiple autonomously maintained data products. When taking this approach, be sure to keep it lightweight and avoid the slippery slope leading to centralized control over a shared resource."
DataOps.live,https://www.thoughtworks.com/radar/platforms/dataops-live,Oct-22,Trial,Platforms,https://tinyurl.com/2o2k4r2j,"DataOps.live  is a data platform that automates environments in  Snowflake . Inspired by  DevOps  practices, DataOps.live lets you treat the data platform like any other web platform by embracing continuous integration and continuous delivery (CI/CD), automated testing, observability and code management. You can roll back changes immediately without impacting the data or recover from complete failures and rebuild a fresh Snowflake tenant in minutes or hours instead of days. Our teams had good experiences with DataOps.live, because it allowed us to iterate quickly when building data products on top of Snowflake."
dbtvault,https://www.thoughtworks.com/radar/tools/dbtvault,Oct-22,Assess,Tools,https://tinyurl.com/2phakngj,"Data Vault 2.0  is a data modeling methodology and design pattern intended to improve the flexibility of data warehouses compared to other popular modeling approaches. Data Vault 2.0 can be applied to any data store such as  Snowflake  or  Databricks . When implementing Data Vault warehouses, we've found the  dbtvault  package for  dbt  to be a helpful tool. dbtvault provides a set of  jinja  templates that generate and execute the ETL scripts necessary to populate a Data Vault warehouse. Although dbtvault has some rough edges "" it lacks support for enforcing implied uniqueness or performing incremental loads "" overall, it fills a niche and requires minimal configuration to get started."
Delta Lake,https://www.thoughtworks.com/radar/platforms/delta-lake,Oct-22,Adopt,Platforms,https://tinyurl.com/2nac5flc,"Delta Lake  is an  open-source storage layer , implemented by Databricks, that attempts to bring ACID transactions to big data processing. In our Databricks-enabled  data lake  or  data mesh  projects, our teams prefer using Delta Lake storage over the direct use of file storage types such as  AWS S3  or  ADLS . Until recently, Delta Lake has been a closed proprietary product from Databricks, but it's now open source and accessible to non-Databricks platforms. However, our recommendation of Delta Lake as a default choice currently extends only to Databricks projects that use  Parquet  file formats. Delta Lake facilitates concurrent data read/write use cases where file-level transactionality is required. We find Delta Lake's seamless integration with Apache Spark  batch  and  micro-batch  APIs very helpful, particularly features such as  time travel  (accessing data at a particular point in time or commit reversion) as well as  schema evolution  support on write."
Design tokens,https://www.thoughtworks.com/radar/techniques/design-tokens,Oct-22,Trial,Techniques,https://tinyurl.com/2pedmtyq,"When faced with the challenge of using a  design system  consistently across many form factors and platforms, the team at Salesforce came up with the concept of  design tokens . The tokens store values, such as colors and fonts, in one central place. This makes it possible to  separate options from decisions , and it significantly improves  collaboration between teams . Design tokens are not new, but with the introduction of tools like  Tailwind CSS  and  Style Dictionary , we see design tokens being used more often."
Dragonfly,https://www.thoughtworks.com/radar/platforms/dragonfly,Oct-22,Assess,Platforms,https://tinyurl.com/2eu9o5e2,"Dragonfly  is a new in-memory data store with compatible  Redis  and Memcached APIs. It leverages the new Linux-specific  io_uring  API for I/O and implements  novel algorithms and data structures  on top of a multithreaded, shared-nothing architecture. Because of these clever choices in implementation, Dragonfly achieves impressive results in performance. Although Redis continues to be our default choice for in-memory data store solutions, we do think Dragonfly is an interesting choice to assess."
eBPF,https://www.thoughtworks.com/radar/platforms/ebpf,Oct-22,Trial,Platforms,https://tinyurl.com/2rxscvp7,"For several years now, the Linux kernel has included the extended Berkeley Packet Filter ( eBPF ), a virtual machine that provides the ability to attach filters to particular sockets. But eBPF goes far beyond packet filtering and allows custom scripts to be triggered at various points within the kernel with very little overhead. By allowing you to run sandboxed programs within the operating system kernel, application developers can run eBPF programs to add additional capabilities to the operating system at run time. Some of our projects require troubleshooting and profiling at the system call level, and our teams found that tools like  bcc  and  bpftrace  have made their jobs easier. Observability and network infrastructure also benefit from eBPF "" for example, the  Cilium  project can implement traffic load balancing and observability  without sidecar overhead  in  Kubernetes , and  Hubble  provides further security and traffic observability on top of it. The  Falco  project uses eBPF for security monitoring, and the  Katran  project uses eBPF to build more efficient L4 load balancing. The eBPF community is growing rapidly, and we're seeing more and more synergy with the field of observability."
Edge Impulse,https://www.thoughtworks.com/radar/platforms/edge-impulse,Oct-22,Assess,Platforms,https://tinyurl.com/2l7h27ln,"In previous Radars, we've written about  TinyML  "" the practice of running trained models on small devices with onboard sensors to make decisions or extract features without a roundtrip to the cloud.  Edge Impulse  has made the process of collecting sensor data and then training and deploying a model as simple as possible. Edge Impulse is an end-to-end hosted platform for developing models optimized to run on small edge devices such as microcontrollers. The platform guides the developer through the entire pipeline, including the task of collecting and labeling training data. They've made it easy to get started using your mobile phone for both data collection and running the classifier while the model training and refining happens in the more powerful, cloud-hosted environment. The resulting recognition algorithms can also be optimized, compiled and uploaded to a wide range of microcontroller architectures. Although Edge Impulse is a commercial venture, the platform is free for developers and makes the entire process fun and engaging even for those who are new to machine learning. The low barrier of entry to creating a working application means that we'll be seeing more edge devices with smart decisioning built in."
Excalidraw,https://www.thoughtworks.com/radar/tools/excalidraw,Oct-22,Trial,Tools,https://tinyurl.com/2ncr7omf,"We continue to hear enthusiastic reports about  Excalidraw  from our teams, but our previous caveat about security remains in place. Excalidraw is a simple yet powerful online drawing tool. Sometimes teams just need a quick picture instead of a formal diagram; for remote teams, Excalidraw provides a quick way to create and share diagrams. Our teams also like the ""lo-fi"" look of the diagrams it can produce, which is reminiscent of the whiteboard diagrams they would have produced when co-located. Regarding security, at the time of writing, anyone who has the link can see your diagrams; note, though, that the paid version of Excalidraw provides further authentication and options to run a server locally do exist."
Fake SMTP server to test mail-sending,https://www.thoughtworks.com/radar/techniques/fake-smtp-server-to-test-mail-sending,Oct-22,Trial,Techniques,https://tinyurl.com/2qgt6p9j,"Using test email accounts or entire test SMTP (Single Mail Transfer Protocol) servers remains a common software testing practice. However, using a real server carries the risk that  test emails will be sent to real people  and often complicates automated integration testing. We've seen success using a  fake SMTP server to test mail sending , which records a request to send an email without actually sending it. Multiple open-source tools exist in this space, including  fake-smtp-server , which renders emails in a web UI for visual testing, and  mountebank , which exposes the sent emails through a REST API for integration testing. We recommend exploring this technique to reduce risk and improve testing efficiency."
Feast,https://www.thoughtworks.com/radar/platforms/feast,Oct-22,Trial,Platforms,https://tinyurl.com/2ks4bkgv,"Feast  is an open-source  Feature Store  for machine learning. It has several useful properties, including generating point-in-time correct feature sets "" so error-prone future feature values do not leak to models during training "" and supporting both streaming and batch data sources. However, it currently only supports timestamped structured data and therefore may not be suitable if you work with unstructured data in your models. We've successfully used Feast at a significant scale as an offline store during model training and as an online store during prediction."
Federated machine learning,https://www.thoughtworks.com/radar/techniques/federated-machine-learning,Oct-22,Trial,Techniques,https://tinyurl.com/2pvqvlcg,"We're now seeing client projects that use  federated machine learning  (ML). Traditionally, ML model training has required data to be placed in a centralized location where the relevant training algorithm can be run. From a privacy point of view, this is problematic, especially when the training data contains sensitive or personally identifiable information; users might be reluctant to share data or local data protection legislation may prevent us from moving data to a central location. Federated ML is a decentralized technique for training on a large and diverse set of data that allows the data to remain remote "" for example, on a user's device. Network bandwidth and the computational limitations of devices still present significant technical challenges, but we like the way federated ML leaves users in control of their own personal information."
GCP Vertex AI,https://www.thoughtworks.com/radar/platforms/gcp-vertex-ai,Oct-22,Assess,Platforms,https://tinyurl.com/2lvh9sss,"GCP Vertex AI  is a unified artificial intelligence platform that allows teams to build, deploy and scale machine-learning (ML) models. Vertex AI includes pretrained models, which can be used directly, fine-tuned or combined with  AutoML , as well as infrastructure such as feature stores and pipelines for ML models. We like Vertex AI's integrated capabilities, which help to make it feel like a coherent AI platform."
git-together,https://www.thoughtworks.com/radar/tools/git-together,Oct-22,Assess,Tools,https://tinyurl.com/2zr6srox,"We're always looking for ways to remove small frictions from pair programming, which is why we're excited by  git-together , a tool written in Rust that simplifies git commit attribution during pairing. By aliasing  git-together  as  git , the tool allows you to add extensions to  git config  that capture committer information, aliasing each committer by their initials. Changing pairs (or switching to soloing or mob programming) requires you to run  git with , followed by the initials of the pair (for example:  git with bb cc ), allowing you to resume your regular git workflow afterward. Every time you commit, git-together will rotate through the pair as the official author that git stores, and it will automatically add any other authors to the bottom of the commit message. The configuration can be checked in with the repo, allowing git-together to work automatically after cloning a repo."
GitHub push protection,https://www.thoughtworks.com/radar/techniques/github-push-protection,Oct-22,Assess,Techniques,https://tinyurl.com/2numl6az,"The accidental publication of secrets seems to be a perennial issue with tools such as  Talisman  popping up to help with the problem. Before now, GitHub Enterprise Cloud users with an Advanced Security License could enable security scanning on their accounts, and any secrets (API keys, access tokens, credentials, etc.) that were accidentally committed and pushed would trigger an alert.  GitHub push protection  takes this one step further, and brings it one step earlier in the development workflow, by blocking changes from being pushed at all if secrets are detected. This needs to be configured for the organization and applies, of course, only to license holders, but additional protection from publishing secrets is to be welcomed."
Gradient,https://www.thoughtworks.com/radar/platforms/gradient,Oct-22,Assess,Platforms,https://tinyurl.com/2lv35xqc,"Gradient  is a platform for building, deploying and running machine-learning applications, very similar to Google's Colab. Notebooks can be created from templates, helping you to get started with  PyTorch  or  TensorFlow  or with applications like  Stable Diffusion . In our experience, Gradient is well-suited for GPU-intensive models, and we like that the web-based environment is persistent."
Gradle Kotlin DSL,https://www.thoughtworks.com/radar/languages-and-frameworks/gradle-kotlin-dsl,Oct-22,Trial,Languages & Frameworks,https://tinyurl.com/2g6nveqe,"Previously, we blipped about the Android Gradle plugin Kotlin DSL, or  Gradle Kotlin DSL , which added support for  Kotlin  Script as an alternative to  Groovy  for Android projects using  Gradle  build scripts. The goal of replacing Groovy with Kotlin is to provide better support for refactoring and simpler editing in IDEs and, ultimately, to produce code that is easier to read and maintain. For teams already using Kotlin, it also means working on the build in a familiar language. We now suggest trialing Kotlin DSL as an alternative language to Groovy for Gradle projects in general, especially if you have large or complex Gradle build scripts. Many IDEs now include support for the migration of existing projects. Some caveats remain, and we suggest checking the  documentation  for the most up-to-date details, including the prerequisites. We had a team with an at least seven-year-old, 450-line build script migrate successfully within a few days."
Great Expectations,https://www.thoughtworks.com/radar/tools/great-expectations,Oct-22,Adopt,Tools,https://tinyurl.com/2lzzosd8,"Great Expectations  has become a sensible default for our teams in the data quality space, which is why we recommend adopting it "" not only for the lack of better alternatives but also because our teams have reported great results in several client projects. Great Expectations is a framework that allows you to craft built-in controls that flag anomalies or quality issues in data pipelines. Just as unit tests run in a build pipeline, Great Expectations makes assertions during the execution of a data pipeline. We like its simplicity and ease of use "" the rules stored in JSON can be modified by our data domain experts without necessarily needing data engineering skills."
IAM Roles Anywhere,https://www.thoughtworks.com/radar/platforms/iam-roles-anywhere,Oct-22,Assess,Platforms,https://tinyurl.com/2zy76zc4,"IAM Roles Anywhere  is a new service from AWS that lets you obtain temporary security credentials in IAM for workloads such as servers, containers and applications that run outside of AWS. We find it particularly useful in hybrid cloud setups where workloads are split across AWS and non-AWS resources. Instead of creating long-lived credentials, with IAM Roles Anywhere, you can now create short-lived credentials to access AWS resources using X.509 certificates. We believe this approach streamlines the access pattern across the hybrid cloud and recommend you check it out."
